HRU,SC,ORDEN,QF,OBS,SEG,ESTAC
673,4,4,1,1,1,Estero Pocuro en el Sifon
674,4,4,1,1,1,Estero Pocuro en el Sifon
675,4,4,1,1,1,Estero Pocuro en el Sifon
676,4,4,1,1,1,Estero Pocuro en el Sifon
685,4,4,1,1,1,Estero Pocuro en el Sifon
686,4,4,1,1,1,Estero Pocuro en el Sifon
687,4,4,1,1,1,Estero Pocuro en el Sifon
697,4,4,1,1,1,Estero Pocuro en el Sifon
2,5,5,1,1,1,Estero Pocuro en el Sifon
66,5,5,1,1,1,Estero Pocuro en el Sifon
83,5,5,1,1,1,Estero Pocuro en el Sifon
101,5,5,1,1,1,Estero Pocuro en el Sifon
118,5,5,1,1,1,Estero Pocuro en el Sifon
132,5,5,1,1,1,Estero Pocuro en el Sifon
133,5,5,1,1,1,Estero Pocuro en el Sifon
134,5,5,1,1,1,Estero Pocuro en el Sifon
135,5,5,1,1,1,Estero Pocuro en el Sifon
150,5,5,1,1,1,Estero Pocuro en el Sifon
151,5,5,1,1,1,Estero Pocuro en el Sifon
152,5,5,1,1,1,Estero Pocuro en el Sifon
173,5,5,1,1,1,Estero Pocuro en el Sifon
174,5,5,1,1,1,Estero Pocuro en el Sifon
197,5,5,1,1,1,Estero Pocuro en el Sifon
198,5,5,1,1,1,Estero Pocuro en el Sifon
204,5,5,1,1,1,Estero Pocuro en el Sifon
222,5,5,1,1,1,Estero Pocuro en el Sifon
223,5,5,1,1,1,Estero Pocuro en el Sifon
224,5,5,1,1,1,Estero Pocuro en el Sifon
225,5,5,1,1,1,Estero Pocuro en el Sifon
226,5,5,1,1,1,Estero Pocuro en el Sifon
227,5,5,1,1,1,Estero Pocuro en el Sifon
231,5,5,1,1,1,Estero Pocuro en el Sifon
248,5,5,1,1,1,Estero Pocuro en el Sifon
249,5,5,1,1,1,Estero Pocuro en el Sifon
250,5,5,1,1,1,Estero Pocuro en el Sifon
